Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sample-1,-3.1212071007322915,2.049936130586878,1.7546049810032414,1.398588052157378,-11.49515160302654,1.356309812027192,-2.6050049887154136,1.662604180451655,-6.628718627840499,-6.049198775912845
sample-2,-4.443159266662839,2.92727992084911,0.9698942037271809,2.6526149299999826,-10.920970726745843,-5.223434856906783,-3.559968704289467,-3.7735657333648227,4.750778765878382,6.434945933143243
sample-3,-5.2331505731671575,-2.2648048473312334,3.2693640331152034,5.298121925987242,-9.306951865590564,4.87990741458808,0.3092201272622347,4.208251480809818,-3.432269181558564,0.9788910810133968
sample-4,-3.450643927186753,-1.8533616947082758,5.5764972623344455,-9.451389029167844,-6.956448187970869,0.8677205783555642,-1.0790953203309133,2.2941976697838125,6.855305709727686,6.947263655024354
sample-5,-11.465463417589673,-4.95862643531418,-4.9720622754421155,1.1459322800945586,-1.64385472170311,2.081934906062044,1.3009502298644262,1.1172038535181152,-3.436801769769104,9.226688255543884
sample-6,-11.212161652039107,-0.23286533801712223,-7.155584276708356,-1.0255705847917704,2.6199731225397955,-8.580451622125638,4.155805137330596,1.7146454402100668,-1.0163451601090934,1.3551570024589117
sample-7,-5.362476144159101,6.245134832728373,-1.4755162592882438,5.370463049773858,-2.126151207278928,-2.9315093176661065,0.5468670254774488,2.0852733590265458,1.9311251539972056,-0.17724451781197273
sample-8,-9.446964435939307,-14.1341488199606,6.724701185226375,-9.949052941762602,-3.1386080827120693,17.3312424339293,3.7188082963006224,-0.44880417445181675,-10.661441364706553,4.46160950411498
sample-9,-8.711301168701985,0.4829472096246208,-0.28074587765794556,1.76828993708014,20.54394404255852,13.441985951348371,-3.8837747847844986,5.091553052330158,2.459317284645304,1.0073178737424116
sample-10,-11.78818541217227,-6.867453490630734,-0.7626835374977036,-2.201401721314859,3.551266263345118,6.146312773718094,-0.08547434729518485,2.3910904784420643,4.560185705720887,-6.66293114398194
sample-11,-9.76317093600255,-3.878956063142454,-7.056443875239638,-0.4180121040787133,7.293721623571793,1.288614147375044,4.332724175101557,5.696253492066636,-2.6126053827327382,-0.7163056189808051
sample-12,-2.2006050972396185,-15.992449352133164,-2.1965874993157524,14.145986718044378,-1.2228555189149346,-6.836102061132982,8.663767510763028,-8.227586055163112,-9.002687341570613,-10.357066859860952
sample-13,-6.729910340248451,7.307923869451902,-7.009230746950836,6.295992464612132,14.523063429076753,-8.08220307514096,-8.546352654477495,0.9270250279085865,-4.152063099964492,3.2779143160652535
sample-14,-4.33653877111421,0.712801591090432,-0.2945224744881696,0.8127577290572203,-2.498189480720031,5.371833021390681,-8.143548725239249,-10.30591358078273,9.503477166840764,-5.062766217456293
sample-15,-8.31526422732211,4.5752082963505405,-5.376180395740295,-3.1161821830417757,8.721408272702197,-11.096500064130979,-0.8315246980850282,-1.1367851363308155,-2.249822807291537,5.491357681272866
sample-16,-8.585144544133607,-6.672687066675071,3.6025317335729623,-8.037788459153893,-4.057650955911811,-8.802203039209179,-4.903963940869902,-12.863900739279272,2.0183129258669252,-6.69634985668989
sample-17,-4.424678118907008,4.055560194014595,-6.72090534944852,6.538336218989812,1.6526100468696372,0.29769702865761544,7.580628549626808,-3.2826349093279488,0.5262966418905605,8.686006245241375
sample-18,7.1635234355041755,15.728038398796594,17.399747469425165,-11.976834147679268,5.857353991358891,-6.105585781988856,-0.5121058063128598,4.806407810872147,-4.204441262597391,-8.322255282772923
sample-19,0.5718604238406937,10.07143269148095,4.830464548465251,6.226229178106979,-7.584963876446324,-1.5762726788051487,-6.838712793787277,0.9928457390758302,0.4554541305031081,4.435804931314992
sample-20,45.236285048370384,5.479976350926677,-12.068821385925414,-0.5829014756062113,0.9281466881721343,-5.891853544079527,2.9568643718600613,11.96620041095246,-4.029983375303961,-2.169395371288353
sample-21,-0.2746501338884802,13.236506610214162,5.353675284682954,3.3132449110909263,-3.660583930988294,-6.1182748826356335,-9.5321115544189,-0.20999842205641367,1.7293015356301833,-2.142472416960202
sample-22,30.62695643679821,-2.253873968593972,9.206050669667407,32.06887847013641,1.316574585547255,8.328703143931422,0.8188290841857939,-4.578060578430666,1.2449574252270739,1.837793742278703
sample-23,31.293148297065237,-17.041820048456525,-4.066291773412082,-7.107243452887487,1.8374992567939976,2.067443361432281,-12.215873812334916,5.207803733166099,4.319639988581838,3.2003086513715395
sample-24,-11.052714904809209,-3.007069844046412,-4.94758588241104,0.32849926768356524,1.0613353047868181,-3.81157276190977,6.119462427580192,3.0810132629276965,1.5846200037050615,4.515378998643871
sample-25,20.79845469925479,-23.967595754516882,1.6881414477522378,-3.9777095005431926,-2.9367324037462166,-7.636232811749656,-2.1115892121054984,4.9939384755669805,5.605646833417787,-2.7950116082424934
sample-26,-7.978516894332111,0.06297207016970123,-4.315803905252229,3.401084215414818,-2.799119196987389,-1.0973889317779606,-1.11084362322351,1.2693938708413781,0.2192307794543459,3.145400617494583
sample-27,-2.7261059560974963,3.573070194257303,4.407933332291748,-3.3262455197791976,-10.211196315707669,2.533343270967811,11.30592225387111,4.820118566939909,5.981053013655875,4.769119214731576
sample-28,-0.8521492348090671,8.642562341012148,5.7313163627828265,-0.9281259063276124,-10.497942078978985,-1.9108806831867313,-0.29228127452924724,4.612219270169399,-2.856056665403102,1.2211134899051865
sample-29,24.054353599919466,12.486996055882672,-34.645925249068476,-12.155602907652305,-4.008397332819672,11.423969155917538,0.9541266647887375,-13.069680123590679,-1.908634821496417,-2.2063078938340053
sample-30,-7.162360203399141,4.507324998957817,-4.622125656131813,0.8982882186446365,-2.8816547129657426,-4.357059364406684,-0.8272408669466594,-2.660514725490698,-7.032289946507851,-0.9791930027524026
sample-31,-3.3622622552350028,5.199605038209753,-5.1885127210840025,-1.6381656701222695,0.2727673679343518,-0.6185827558631568,-0.7445183503881112,2.539698566413712,3.3371971186044678,0.9614967022053563
sample-32,-12.701756982039427,-5.4817150608123555,-3.9819494196052507,4.108958313620361,0.7902307796897291,4.060248523938795,-1.8626926878647028,8.872813413002062,-1.4181878649297341,-10.515304420049068
sample-33,17.89846956249762,-21.774582368675816,15.95230416131285,-8.37725286660102,8.322830708077731,-6.562361894633464,7.593808500180957,-9.443089714295656,0.28951545261779654,5.607617771538023
sample-34,-11.344823423761666,-5.373703232778198,-5.039739763431299,-2.6579220813494095,4.813278424487995,-4.313540241623841,3.752075127118432,-3.388318283439932,-1.9633600135479257,-1.2436145340524367
sample-35,6.3800962972963315,11.008149610806612,18.717499098539722,-4.419624752272055,7.8953657649117766,6.102591239520344,-10.141087512426244,-7.950648146898732,-8.937384668514502,4.41820925940911
sample-36,-9.99573492235891,-7.532694172969534,4.206827806629035,-2.947142250162717,-4.909843799749585,7.712664968486611,-3.9921273214206843,4.487423864861008,-1.862721442934935,-5.953438054523207
sample-37,15.400207899735694,23.000655510674108,14.893143002504962,-5.497449376031561,3.7200447934881558,3.8757232141389757,17.14856038858393,-1.782636662913271,4.610687472802106,-5.066484280034903
sample-38,-13.382255656234038,1.93432564267765,-2.1074782589343326,4.0193510498313065,7.135851533051926,2.383765423187359,2.561473109949818,-1.7158380335195524,15.423711688011666,-4.86405507130891
